Brand,Bike Name,Model Year,Price,Location,Owners,Kilometers Run,Listing Type
KTM,Duke 200 ABS,2025,"2,10,000","Tiruchirappalli, Tamil Nadu",1.0,5000.0,Basic
Bicycle,Hercules,2026,"4,800","Hyderabad, Telangana",1.0,,Basic
KTM,250 Adventure 2025,2026,"2,75,000",Tamil Nadu,1.0,1700.0,Basic
Keeway,K-Light 250V,2022,"2,50,000","Chennai, Tamil Nadu",1.0,15000.0,Basic
Royal Enfield,Meteor 350 Stellar,2022,"1,75,000","Dehradun, Utarakhand",1.0,32000.0,Basic
Honda,CB200X,2023,"1,20,000","North 24 Parganas, West Bengal",1.0,10000.0,Basic
"Bajaj,",2017 Model,2017,"70,000","Haripad, Alappuzha, Kerala",,36000.0,Basic
Royal Enfield,Super Meteor 650,2024,"3,90,000","Bangalore, Karnataka",1.0,21000.0,Basic
Hero,Xtreme 125R,2024,"70,000","Noida, Uttar Pradesh",1.0,4500.0,Basic
Royal Enfield,Super Meteor 650,2024,"4,85,000","Karkala, Udupi, Karnataka",1.0,10000.0,Basic
Kawasaki,Ninja 300R,2026,"3,00,000","Gorakhpur, Uttar Pradesh",1.0,1200.0,Basic
Bajaj,Pulsar 150 Neon,2019,"35,000","Barasat, North 24 Parganas, West Bengal",,52539.0,Basic
Yamaha,Alpha,2016,"35,000","Whitefield, Bangalore, Karnataka",1.0,10500.0,Basic
Yamaha,YZF R15 V3 BS6,2020,"80,000","Dwarka, South West Delhi, Delhi",1.0,13000.0,Basic
Honda,Activa 6G Std,2020,,"Kolkata, West Bengal Finance Available View More Details",1.0,,Basic
Bicycle,Schnell,2017,"4,500","Rangareddy, Telangana",1.0,,Basic
Honda,Hness CB350 DLX Pro 2025,2025,"2,25,000","Hadapsar, Pune, Maharashtra",1.0,700.0,Basic
Hero,Xpulse 200 4V 2023 Edition,2023,"94,000","Hyderabad, Telangana",1.0,42500.0,Basic
TVS,Apache RR 310 BTO,2023,"2,30,000","Howrah, West Bengal",1.0,2989.0,Basic
Royal Enfield,Classic 350,2016,"1,10,000","Jaipur, Rajasthan",1.0,8000.0,Basic
Jawa,42 Dual Tone,2023,"1,60,000","Udaipur, Rajasthan",1.0,23000.0,Basic
Royal Enfield,Super Meteor 650,2025,"3,95,000","Mayur Vihar, East Delhi, Delhi",1.0,4700.0,Basic
KTM,RC 200 2020,2020,"1,40,000","Dadar, Mumbai, Maharashtra",2.0,10100.0,Basic
Odysse,Evoqis,2023,"80,000","Ahmedabad, Gujarat",1.0,12000.0,Basic
KTM,RC 200 2022,2022,"1,80,000","Kanchipuram, Tamil Nadu",1.0,7000.0,Basic
Royal Enfield,Meteor 350 Fireball,2021,"1,60,000","Sholinganallur, Chennai, Tamil Nadu",1.0,7200.0,Basic
Bajaj,Avenger Street 220,2016,"45,000","Gurgaon, Haryana",1.0,31414.0,Basic
Yamaha,FZ-S FI Ver 4.0,2024,"1,11,000","Banashankari, Bangalore, Karnataka",1.0,12600.0,Basic
Ampere,Magnus Ex,2023,"95,000","KR Puram, Bangalore, Karnataka",1.0,2031.0,Basic
EMotorad,Doodle,2026,"50,000","Whitefield, Bangalore, Karnataka",1.0,,Basic
Ola,S1 Pro,2022,"52,000","Nelamangala, Bangalore, Karnataka",1.0,63000.0,Basic
Suzuki,Gixxer SF Moto GP,2018,,"Chembur, Mumbai, Maharashtra Finance Available View More Details",1.0,29766.0,Basic
Triumph,Scrambler 400 X,2025,"2,70,000","North Delhi, Delhi",1.0,2600.0,Basic
BMW,G 310 RR,2025,"3,30,000","Ramnagar, Nainital, Utarakhand",1.0,3000.0,Basic
KTM,Duke 390,2017,"1,50,000","Thane, Maharashtra",1.0,19500.0,Basic
Royal Enfield,Classic Desert Storm,2012,"90,000","Pune, Maharashtra",1.0,22000.0,Basic
Yamaha,Aerox 155,2023,"1,25,000","Mylapore, Chennai, Tamil Nadu",1.0,20000.0,Basic
Ola,S1 Pro,2024,"75,000","Bangalore, Karnataka",1.0,17000.0,Basic
Jawa,42 Bobber Black Mirror,2023,"1,95,000","Bhubaneshwar, Orissa",1.0,14000.0,Basic
Bajaj,Avenger Street 220,2018,"30,000","Barasat, North 24 Parganas, West Bengal",1.0,7000.0,Basic
Honda,NX500,,"6,00,000","Bangalore, Karnataka",1.0,12800.0,Premium
Honda,CB Unicorn,2010,"55,000","Nashik, Maharashtra",1.0,76125.0,Premium
Honda,Activa 6G,2022,"59,000","Ahmednagar, Maharashtra",1.0,48500.0,Premium
Bajaj,XCD 125 DTS-Si,2008,"30,000","Kolkata, West Bengal",1.0,35000.0,Premium
Yamaha,YZF R15 V2,2013,"45,000","Yelahanka, Bangalore, Karnataka",1.0,59147.0,Premium
Royal Enfield,Bullet Standard 350,1994,"1,60,000","North Kannada, Karnataka",2.0,19000.0,Premium
Royal Enfield,Classic 500,,"1,00,000","Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",1.0,75000.0,Premium
Royal Enfield,Super meteor 650,2025,"3,60,000","Dildarnagar, Ghazipur, Uttar Pradesh",1.0,11000.0,Premium
TVS,Ronin SS,2026,"1,40,000","Bandlaguda, Hyderabad, Telangana",1.0,399.0,Premium
Ola,S1 Pro,2022,"45,000","Indore, Madhya Pradesh",1.0,43000.0,Basic
Aprilia,Tuono 457,2025,"4,00,000","Guindy, Chennai, Tamil Nadu",1.0,1500.0,Basic
Honda,Hness CB350 DLX,2023,"1,60,000","Bangalore, Karnataka",1.0,34000.0,Basic
Suzuki,Intruder 150 FI,2022,"72,500","Bangalore, Karnataka",1.0,18000.0,Basic
Royal Enfield,Classic Desert Storm,2023,"2,19,999","Navi Mumbai, Maharashtra",1.0,22500.0,Basic
Royal Enfield,Scram 411,2023,"1,65,000","Ghaziabad, Uttar Pradesh",1.0,10500.0,Basic
Bajaj,Pulsar 200 NS,2018,"1,00,000","Gulbarga, Karnataka",,53000.0,Basic
Bajaj,Discover 150 F,2014,"35,000","Satna, Madhya Pradesh",1.0,50000.0,Basic
Bajaj,Pulsar NS 160 BS6,2021,"60,000","Mira-Bhayandar, Thane, Maharashtra",1.0,10000.0,Basic
Royal Enfield,Bullet 350 ES,2026,"1,80,000","Patna, Bihar",1.0,200.0,Basic
Triumph,Speed 400,2026,"2,70,000","Thane, Maharashtra",1.0,3700.0,Basic
Bajaj,Pulsar 220 DTSFi,2018,"65,000","Surat, Gujarat",1.0,23600.0,Basic
Bajaj,Avenger Street 220,2019,"75,000","Gurgaon, Haryana",1.0,8500.0,Basic
Jawa,Java 42 fj,2025,"2,50,000","Bangalore, Karnataka",1.0,27000.0,Basic
Revolt,RV 400,2022,"65,000","Chennai, Tamil Nadu",1.0,19000.0,Basic
